Bag Number,Site,Date,Locality,Latitude,Longitude,Collector,Unique ID,Method(nocolor),Method,Warming,Plant Species,Order,Family,Genus,Species,Sex,Notes,Location
25,"Alexandra Fiord, Nunavut",2012-06-23,Willow,78.875,-75.799,S. Robinson,UBC:GH:366,Netting,Netting ,Control,Salix arctica,Diptera,Chironomidae,NA,NA,F,NA,NA
389,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3732,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
315,"Alexandra Fiord, Nunavut",2012-07-26,Willow,78.875,-75.799,S. Robinson,UBC:GH:3768,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
315,"Alexandra Fiord, Nunavut",2012-07-26,Willow,78.875,-75.799,S. Robinson,UBC:GH:3769,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
356,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3827,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
369,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3873,Panfall,Panfall Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
345,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3919,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
345,"Alexandra Fiord, Nunavut",2012-07-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:3923,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
361,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:3964,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,Greg's Synoptic Collection
392,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3985,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
392,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3987,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,Greg's Synoptic Collection
392,"Alexandra Fiord, Nunavut",2012-08-07,Willow,78.875,-75.799,S. Robinson,UBC:GH:3989,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,Greg's Synoptic Collection
359,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:4049,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
359,"Alexandra Fiord, Nunavut",2012-08-01,Willow,78.875,-75.799,S. Robinson,UBC:GH:4059,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,F,NA,NA
58,"Alexandra Fiord, Nunavut",2012-06-28,Willow,78.875,-75.799,S. Robinson,UBC:GH:70,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Chironomidae,NA,NA,M,NA,Greg's Synoptic Collection
118,"Alexandra Fiord, Nunavut",2012-07-05,Willow,78.875,-75.799,S. Robinson,UBC:GH:1077,Netting,Netting ,Control,Dryas integrifolia,Diptera,Culicidae,Aedes,NA,M,NA,Greg's Synoptic Collection
125,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1148,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
125,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1151,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,Greg's Synoptic Collection
125,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1197,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
125,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1222,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
208,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1291,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,Spencer Entomological Collection
94,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:138,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,Greg's Synoptic Collection
126,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1531,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,Spencer Entomological Collection
126,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1553,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
126,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1554,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
107,"Alexandra Fiord, Nunavut",2012-07-04,Willow,78.875,-75.799,S. Robinson,UBC:GH:1631,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1661,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1682,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1689,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,Greg's Synoptic Collection
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1709,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1714,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1797,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1803,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1835,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
207,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:2081,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
166,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:2212,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
70,"Alexandra Fiord, Nunavut",2012-06-29,Willow,78.875,-75.799,C. G-Gaito,UBC:GH:222,Netting,Netting ,Control,Dryas integrifolia,Diptera,Culicidae,Aedes,NA,M,NA,Greg's Synoptic Collection
124,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2241,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
124,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2242,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
142,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:2413,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
142,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:2415,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
142,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:2427,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
147,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:2469,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
147,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:2475,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
128,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2717,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
128,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2729,Bowl Trap,Bowl Trap Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
123,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2776,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
123,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2791,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
123,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:2793,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,Spencer Entomological Collection
186,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:2840,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
247,"Alexandra Fiord, Nunavut",2012-07-16,Willow,78.875,-75.799,S. Robinson,UBC:GH:3007,Panfall,Panfall Yellow,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
281,"Alexandra Fiord, Nunavut",2012-07-20,Willow,78.875,-75.799,S. Robinson,UBC:GH:3313,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
51,"Alexandra Fiord, Nunavut",2012-06-27,Willow,78.875,-75.799,S. Robinson,UBC:GH:52,Netting,Netting ,Control,Salix arctica (M),Diptera,Culicidae,Aedes,NA,F,NA,NA
74,"Alexandra Fiord, Nunavut",2012-06-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:780,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
90,"Alexandra Fiord, Nunavut",2012-07-02,Willow,78.875,-75.799,S. Robinson,UBC:GH:861,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Culicidae,Aedes,NA,F,NA,NA
78,"Alexandra Fiord, Nunavut",2012-06-30,Willow,78.875,-75.799,S. Robinson,UBC:GH:967,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Culicidae,Aedes,NA,F,NA,Spencer Entomological Collection
146,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1092,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
146,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1117,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
146,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1120,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
163,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1133,Bowl Trap,Bowl Trap Blue,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
125,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1142,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
188,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1239,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
208,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1290,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
208,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1300,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1322,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1323,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1329,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1345,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1352,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1368,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
184,"Alexandra Fiord, Nunavut",2012-07-12,Willow,78.875,-75.799,S. Robinson,UBC:GH:1377,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
165,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1436,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
165,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1458,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1652,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
127,"Alexandra Fiord, Nunavut",2012-07-06,Willow,78.875,-75.799,S. Robinson,UBC:GH:1704,Bowl Trap,Bowl Trap Blue,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1734,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1736,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1737,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1745,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,Spencer Entomological Collection
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1750,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
144,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1756,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1778,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1792,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
162,"Alexandra Fiord, Nunavut",2012-07-10,Willow,78.875,-75.799,S. Robinson,UBC:GH:1795,Bowl Trap,Bowl Trap White,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1805,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
145,"Alexandra Fiord, Nunavut",2012-07-08,Willow,78.875,-75.799,S. Robinson,UBC:GH:1815,Bowl Trap,Bowl Trap White,Control,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1855,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1856,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1862,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1863,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,M,NA,Spencer Entomological Collection
206,"Alexandra Fiord, Nunavut",2012-07-14,Willow,78.875,-75.799,S. Robinson,UBC:GH:1875,Bowl Trap,Bowl Trap Yellow,OTC,NA,Diptera,Dolichopodidae,Dolichopus,NA,F,NA,NA
